itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
23443102571,823581736,LUNCH BOX PAPER KOTAK BUNGKUS NASI FOOD GRADE KERTAS BAHAN KRAFT ECO,1182975,1308755,9978,248.0,4.8761437669277505,13857,31,31,147,1189,12459,KOTA JAKARTA BARAT,shopee
11218816222,484377982,"Paper Lunch Box S,M,L/ Kotak makanan coklat polos/ lunch box selip",28829,426112,14318,270.0,4.904195099255583,26065,58,59,192,1694,24062,KAB. BEKASI,shopee
17092523633,484377982,Paper Lunch  Box Extra Small / Dus Takoyaki / Kotak Dimsum / Lunch Box XS / Kotak Siomay,15543,210093,4210,252.0,4.891955098222638,4337,10,9,43,311,3964,KAB. BEKASI,shopee
17872297706,178932000,LUNCH BOX PAPER - MEDIUM / KOTAK MAKAN / DUS NASI / KOTAK BUNGKUS NASI / KOTAK TAKEAWAY NASI GORENG AYAM GORENG GEPREK MIE GORENG,2059248,168613,2622,279.0,4.888888888888889,5938,10,11,53,493,5371,KOTA JAKARTA BARAT,shopee
6894274752,484377982,"Paper Lunch Box Size S,M,L Model Selip / Box Makanan Kraft",594808,124274,4344,270.0,4.901668653158522,6748,21,10,51,445,6221,KAB. BEKASI,shopee
9580060454,484377982,Paper Lunch Box Kraft / Paper box makanan / Kotak nasi ukuran L / Kertas kraft coklat laminasi 325 gsm,30,122976,2575,455.0,4.918609967992684,6642,11,9,46,375,6201,KAB. BEKASI,shopee
15189831545,440300676,Lunch Box Paper / SIZE M / Kraft Coklat Laminasi PE Food Grade,3970,106724,683,270.0,4.8931875525651805,1192,4,3,5,92,1088,KAB. BEKASI,shopee
21260338200,164751069,PAPER LUNCH BOX / KOTAK MAKAN KERTAS LAMINASI ECO KRAFT SEMUA UK,5961037,87205,505,310.0,4.925352112676056,719,2,3,9,18,687,KOTA JAKARTA TIMUR,shopee
19620327588,754422102,"PAPER LUNCH BOX BAHAN KRAFT/LUNCH BOX PAPER COKLAT SIZE M , L , S , XS",5974452,87150,542,400.0,4.897647058823529,852,5,1,9,46,791,KOTA JAKARTA TIMUR,shopee
7639460421,236330437,Paper lunch box kraft medium dan large / dus kotak nasi take away / paper box,2336643,74099,9417,625.0,4.912145806635341,7045,28,20,53,343,6601,KOTA JAKARTA BARAT,shopee
21382140923,53101052,Paper LunchBox M Reguler (Tanpa Merek)/Termurahhhhhh!!!!,2316,67178,491,390.0,4.889358108108108,1222,1,1,15,94,1111,KOTA SURABAYA,shopee
21388755869,484377982,"PAPER LUNCH BOX M EKONOMIS, KRAFT LAMINASI, MEDIUM EKONOMIS",23562,65044,403,261.0,4.795608108108108,1195,15,7,25,111,1037,KAB. BEKASI,shopee
6979892162,257014725,Thinwall PERSEGI PANJANG 500ml + Tutup / Kotak Makan Plastik 500 ml FREE PACKING [ECERAN],110370,53589,13683,830.0,4.92611015646197,22563,12,32,169,1161,21189,KAB. BANDUNG,shopee
20750137496,484377982,Paper Lunch Box Food Grade Size S/ Kotak Makan Kraft PE / Box Nasi - Pola Internasional Size S,5,46302,190,267.0,4.9072847682119205,304,0,0,4,20,280,KAB. BEKASI,shopee
22236952666,53101052,Paper Lunchbox Murah Full Laminasi,129970,41723,425,390.0,4.9052092228864215,1186,4,1,7,78,1096,KOTA SURABAYA,shopee
17779013147,815759591,PAPER LUNCH BOX M BAHAN KRAFT/LUNCH BOX PAPER M COKLAT MURAH,19320,41310,82,390.0,4.977443609022556,415,0,0,1,7,407,KOTA BANDUNG,shopee
21790700770,1001975667,Lunch Box Hijau /paperlunchbox/lunchbox/dusmakanan/dus ayam geprek/dus nasi goreng/dus mie yamin/dus ayam goreng/dus nasi goreng/take away/box paper/dus cetak/dus motif,21177,38669,441,522.0,4.885321100917431,436,1,0,3,40,392,KOTA BANDUNG,shopee
5239201609,257014725,Thinwall PERSEGI PANJANG 750ml + Tutup FREE PACKING / Kotak Makan Plastik 750 ml [ECERAN],954529,37431,5831,910.0,4.927886042140667,20492,18,20,155,1027,19272,KAB. BANDUNG,shopee
22752389384,1001975667,Lunch Box Cetak Cokelat Size M 290gsm Kotak Makan Kertas Brown Paper Box Makanan Dus Kraft Craft Grosir Murah,25357,36158,709,525.0,4.932017543859649,471,0,0,4,23,444,KOTA BANDUNG,shopee
7441567047,280943324,"FREE PACKING DUS SIAP KIRIM Thinwall 500,650,750,1000ML THINWALL RECTANGLE / Food Container / Kotak Makan Plastik / Thinwall 500 650 750 1000ml",132486,33969,11409,899.0,4.901693063899509,7682,15,21,108,423,7115,KOTA JAKARTA BARAT,shopee
4480123250,257014725,Thinwall BUJUR SANGKAR 2000ml + Tutup / Kotak Makan Plastik 2000 ml FREE PACKING [ECERAN],88739,33667,5246,2299.0,4.893046581155367,10487,27,28,136,656,9640,KAB. BANDUNG,shopee
17153041974,178932000,LUNCH BOX PAPER - SMALL / KOTAK MAKAN / DUS NASI / KOTAK BUNGKUS NASI / KOTAK TAKEAWAY AYAM GORENG GEPREK MIE GORENG DIMSUM SIOMAY,1893771,32164,3485,277.0,4.857690202517789,1843,8,8,22,160,1645,KOTA JAKARTA BARAT,shopee
8369476919,326580687,Brown Paper Craft Lunch Box Size M Lembaran / Lipatan - Lunch Box Coklat Craft Ukuran M Lembaran,59842,32038,2207,370.0,4.91288492706645,5061,10,10,38,290,4713,KAB. SIDOARJO,shopee
5939200995,257014725,Thinwall PERSEGI PANJANG 1000ml + Tutup / Kotak Makan Plastik 1000 ml FREE PACKING [ECERAN],958484,28784,8120,999.0,4.906364749082007,23069,35,51,262,1337,21384,KAB. BANDUNG,shopee
2109736328,21689162,BOX GEPREK / HOTWING / TAKOYAKI / DIMSUM POLOS/ LUNCHBOX UK.S @1Pcs,313393,29667,7262,295.0,4.92243940578577,6584,11,6,57,320,6190,KOTA BEKASI,shopee
7762625442,311583641,Thinwall Rectangle Thinwall 200ml 250ml 300ml 500ml 650ml 750ml 1000ml/ kotak makan plastik,119006,28281,4801,835.0,4.879544823757979,3607,22,11,49,215,3310,KOTA JAKARTA BARAT,shopee
21779997262,383541227,[FOBO] LUNCH BOX COKLAT PAPER KRAFT FULL LAMINASI / KOTAK MAKAN COKLAT KRAFT 230 GSM,59626,26454,623,620.0,4.812590448625181,1401,13,6,32,125,1225,KOTA SURABAYA,shopee
16868968435,747125083,Kotak Tempat Makan / Mika Bento Sekat 4 Bintang Hitam Tebal Lux,310,27001,580,995.0,4.827282728272827,909,3,2,17,105,782,KAB. SIDOARJO,shopee
3666526154,257014725,Thinwall BUJUR SANGKAR 1500ml + Tutup / Kotak Makan Plastik 1500 ml FREE PACKING [ECERAN],101470,25028,3984,1655.0,4.875264098813587,12390,40,45,208,839,11258,KAB. BANDUNG,shopee
17853035277,178932000,LUNCH BOX PAPER - XTRA SMALL / KOTAK DIMSUM / DUS TAKOYAKI / SIOMAY / KERTAS BUNGKUS NASI / KOTAK MAKAN / KOTAK TAKEAWAY,1987420,20988,1570,279.0,4.902439024390244,1609,3,4,19,94,1489,KOTA JAKARTA BARAT,shopee
20866886007,506066819,KOTAK LUNCH BOX PAPER COKLAT/PUTIH / SMALL / MEDIUM / LARGE FOODGRADE,42678,20616,117,875.0,4.950892857142857,244,1,1,2,0,240,KOTA DEPOK,shopee
7537739933,155060269,LUNCH BOX PAPER IVORY ECO FOOD GRADE LAMINASI FULL SISI DALAM,36835,19330,1126,727.0,4.92,1165,3,0,8,64,1090,KOTA JAKARTA PUSAT,shopee
17730491872,326580687,Lunch Box Craft Size M Lembaran/Lipatan-Box Coklat Ukuran M Lembaran/Lipatan,10000,18054,249,370.0,4.9113924050632916,1117,1,2,9,92,1013,KAB. SIDOARJO,shopee
23268459130,1001975667,Lunch Box Size s m l 290gsm Kotak Makan Kertas Paper Box Kraft Dus Makanan Dimsum Takoyaki Snack Grosir Murah,38029,19917,99,292.0,4.825688073394495,109,1,0,3,9,96,KOTA BANDUNG,shopee
16653038340,178932000,LUNCH BOX PAPER - LARGE / KOTAK MAKAN / DUS NASI / KOTAK BUNGKUS NASI / KOTAK TAKEAWAY NASI GORENG AYAM GORENG GEPREK MIE GORENG,12116189,15916,428,365.0,4.930810810810811,931,3,0,5,42,881,KOTA JAKARTA BARAT,shopee
17979012875,815759591,"PAPER LUNCH BOX BAHAN KRAFT/LUNCH BOX PAPER COKLAT SIZE M , L , S MURAH",27239,14457,214,390.0,4.951048951048951,143,0,0,0,7,136,KOTA BANDUNG,shopee
20819315915,809650186,Lunch Box Size S Kotak Makan Kertas Paper Box Kraft Laminasi Dus Makanan Dimsum Takoyaki Snack Grosir Murah,31893,15641,652,325.0,4.9037828947368425,1221,4,0,8,85,1124,KOTA BANDUNG,shopee
17222610630,558126747,Lunch Box Size S Kotak Makan Kertas Paper Box Kraft Laminasi Dus Makanan Dimsum Takoyaki Snack Grosir,90718,13897,622,335.0,4.893054024255789,956,2,1,21,44,888,KOTA BANDUNG,shopee
21079304570,384332098,LUNCH BOX PAPER COKLAT KRAFT ALL SIZE KOTAK MAKAN TAKEAWAY POLOS,5993719,14753,61,310.0,4.922077922077922,77,0,0,0,6,71,KOTA JAKARTA TIMUR,shopee
22235762003,976187804,JET | LUNCH BOX KRAFT PAPER EXCLUSIVE | LUNCH BOX M | LUNCH BOX L | WADAH MAKANAN,36843,14463,181,490.0,4.919354838709677,310,0,1,3,16,290,KOTA SEMARANG,shopee
10806303057,308027559,DUS SNACKBOX 12X12X7 KRAFT LAMINASI KOTAK MAKAN BOX KUE KEMASAN DUS,1935347,14171,705,650.0,4.971086739780658,1101,0,0,0,29,1072,KOTA BANDUNG,shopee
22144051540,273286172,"Paper Lunch Box Kotak Makan Ukuran 12x7x5 cm (Lunchbox S/Small) Laminasi Tebal 290 gram/gsm Coklat Polos - Lunch Box Kertas, Dus Box, Dus Nasi, Kemasan Makanan Take Away, Kemasan Makanan Kertas, Tray Paper Kertas, Box Kue",21441,14007,270,310.0,4.889589905362776,317,1,0,1,29,286,KOTA MALANG,shopee
12028300654,21689162,Lunch Box M Kraft Polos termurah,4156,13715,145,405.0,4.961389961389961,807,0,0,2,26,779,KOTA BEKASI,shopee
7545356235,155060269,PAPER LUNCH BOX CRAFT BROWN POLOS 290 GR / KEMASAN MAKANAN / PAPER TAKE AWAY / KOTAK MAKAN,116135,13290,643,531.0,4.948497854077253,935,2,0,4,32,897,KOTA JAKARTA PUSAT,shopee
23645582371,309583462,Paper Lunch Box Kotak Makan Kertas Kraft Coklat Dos Kemasan Nasi S M L 12x8x5 16x9x5 18x11x5,23696,13325,279,420.0,4.87603305785124,487,0,1,3,51,432,KAB. PONOROGO,shopee
9163304399,9384314,Bagasse Burger Kotak Kecil 15cm x 15cm 6inch Lunchbox Sugarcane Serat Tebu ECO FRIENDLY BENTO CAKE,276760,12917,8844,2100.0,4.906528886801315,2145,13,1,16,113,2002,KOTA TANGERANG SELATAN,shopee
